,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
706,R_8e4kk6XQ9qyrNC5,4,5,5,5,5,4,3,3,5,3,5,4,5,4,2,4,4,5,4,5,5,5,3,4,5,5,5,3,3,1,5
716,R_8iCuIlrJQOC38Q5,4,4,5,5,4,4,5,5,4,4,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5
728,R_8wsTfNvQckyZKo5,4,4,3,3,3,3,1,3,2,3,4,4,4,5,3,4,1,4,2,2,3,4,4,4,3,4,4,3,3,3,1
732,R_9AkbWFw4XEh1VU9,4,5,5,5,5,5,4,2,5,5,5,5,5,5,1,5,5,5,4,5,5,5,2,5,5,5,5,2,5,1,5
736,R_9FARX357ivDHUBT,4,5,5,2,2,5,3,2,3,2,3,1,2,1,1,1,3,3,3,2,3,1,1,1,1,2,3,1,2,1,1
752,R_9ulGy5Av6AlNDdX,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5
776,R_b2Bj6PSM8t208jb,4,5,4,4,3,4,4,4,3,4,4,3,4,4,3,2,3,4,4,5,4,4,4,2,4,4,4,3,4,3,4
849,R_d444ZJjn5Qvmx13,4,4,4,4,4,4,4,3,5,3,3,3,3,3,3,3,3,5,3,4,4,3,3,3,3,3,3,2,3,4,4
855,R_d6xcBjdfFhw7d2J,4,5,5,4,4,5,4,4,5,4,4,3,2,3,3,4,3,3,4,4,4,4,3,3,4,4,5,3,3,4,4
860,R_dgssef3b45zsjfD,4,4,4,4,4,4,4,3,4,4,4,2,4,3,2,3,3,2,4,4,4,4,4,4,4,4,4,3,3,1,3
912,SS_4O4hwzyzH0xzDXD,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
